iter	Passed	Remaining
441	1206	1522
442	1207	1518
443	1208	1513
444	1210	1509
445	1212	1505
446	1215	1503
447	1217	1499
448	1221	1498
449	1225	1498
450	1229	1496
451	1232	1494
452	1234	1491
453	1237	1487
454	1238	1484
455	1240	1479
456	1241	1475
457	1243	1471
458	1245	1468
459	1249	1466
460	1250	1462
461	1252	1458
462	1253	1453
463	1254	1449
464	1256	1445
465	1257	1440
466	1261	1440
467	1263	1435
468	1264	1431
469	1265	1427
470	1266	1422
471	1267	1418
472	1268	1413
473	1270	1409
474	1271	1404
475	1272	1400
476	1275	1398
477	1277	1395
478	1279	1391
479	1280	1387
480	1281	1382
481	1282	1378
482	1283	1374
483	1284	1369
484	1286	1365
485	1287	1361
486	1289	1358
487	1291	1355
488	1292	1350
489	1294	1346
490	1295	1342
491	1296	1338
492	1297	1334
493	1298	1330
494	1300	1326
495	1301	1322
496	1305	1321
497	1307	1317
498	1308	1314
499	1310	1310
500	1311	1306
501	1312	1302
502	1313	1298
503	1315	1294
504	1316	1289
505	1317	1286
506	1320	1284
507	1322	1280
508	1324	1277
509	1325	1273
510	1326	1269
511	1327	1265
512	1329	1261
513	1330	1257
514	1331	1254
515	1336	1253
516	1337	1249
517	1339	1246
518	1340	1242
519	1341	1238
520	1343	1234
521	1344	1230
522	1345	1227
523	1347	1223
524	1349	1221
525	1351	1217
526	1352	1213
527	1353	1210
528	1354	1206
529	1356	1202
530	1357	1199
531	1358	1195
532	1360	1191
533	1365	1191
534	1367	1188
535	1368	1184
536	1369	1181
537	1370	1177
538	1372	1173
539	1373	1169
540	1374	1166
541	1375	1162
542	1377	1159
543	1379	1156
544	1381	1153
545	1382	1149
546	1383	1145
547	1384	1142
548	1386	1138
549	1387	1134
550	1388	1131
551	1389	1127
552	1390	1124
553	1392	1121
554	1395	1118
555	1396	1115
556	1398	1112
557	1399	1108
558	1400	1104
559	1401	1101
560	1402	1097
561	1403	1094
562	1404	1090
563	1406	1087
564	1408	1084
565	1410	1081
566	1411	1077
567	1412	1074
568	1413	1070
569	1414	1067
570	1416	1063
571	1417	1060
572	1418	1057
573	1419	1053
574	1421	1050
575	1423	1047
576	1425	1045
577	1427	1041
578	1428	1038
579	1429	1034
580	1430	1031
581	1431	1028
582	1432	1024
583	1433	1021
584	1434	1017
585	1436	1014
586	1438	1012
587	1440	1009
588	1441	1005
589	1442	1002
590	1443	999
591	1445	995
592	1446	992
593	1447	989
594	1448	985
595	1449	982
596	1450	979
597	1454	977
598	1456	974
599	1457	971
600	1458	968
601	1459	965
602	1461	961
603	1462	958
604	1463	955
605	1464	952
606	1466	949
607	1468	946
608	1470	943
609	1471	940
610	1472	937
611	1473	934
612	1474	931
613	1476	928
614	1477	924
615	1478	921
616	1480	918
617	1481	915
618	1485	914
619	1486	911
620	1488	908
621	1489	905
622	1490	902
623	1491	898
624	1492	895
625	1493	892
626	1494	889
627	1496	886
628	1498	883
629	1500	881
630	1501	878
631	1502	874
632	1503	871
633	1504	868
634	1506	865
635	1507	862
636	1508	859
637	1509	856
638	1514	855
639	1515	852
640	1517	849
641	1518	846
642	1519	843
643	1520	840
644	1522	837
645	1523	834
646	1524	831
647	1526	829
648	1528	826
649	1529	823
650	1531	820
651	1532	818
652	1533	815
653	1534	812
654	1535	809
655	1537	806
656	1538	803
657	1539	800
658	1542	798
659	1546	796
660	1548	794
661	1549	791
662	1550	788
663	1551	785
664	1552	782
665	1553	779
666	1555	776
667	1557	774
668	1559	771
669	1560	768
670	1561	765
671	1562	762
672	1563	759
673	1564	756
674	1566	754
675	1567	751
676	1568	748
677	1569	745
678	1572	743
679	1574	740
680	1576	738
681	1577	735
682	1578	732
683	1579	729
684	1580	726
685	1581	724
686	1582	721
687	1584	718
688	1587	716
689	1588	713
690	1590	711
691	1591	708
692	1592	705
693	1593	702
694	1594	699
695	1595	696
696	1596	694
697	1597	691
698	1599	688
699	1604	687
700	1605	684
701	1606	682
702	1607	679
703	1608	676
704	1610	673
705	1610	670
706	1612	668
707	1613	665
708	1614	662
709	1617	660
710	1618	657
711	1619	655
712	1621	652
713	1622	649
714	1623	647
715	1624	644
716	1625	641
717	1626	638
718	1627	636
719	1629	633
720	1632	631
721	1634	629
722	1635	626
723	1636	624
724	1638	621
725	1639	618
726	1640	615
727	1641	613
728	1642	610
729	1644	608
730	1645	605
731	1647	603
732	1648	600
733	1650	598
734	1651	595
735	1652	592
736	1653	590
737	1654	587
738	1655	584
739	1656	582
740	1658	579
741	1659	577
742	1663	575
743	1664	572
744	1666	570
745	1667	567
746	1668	565
747	1669	562
748	1670	559
749	1671	557
750	1673	554
751	1674	552
752	1677	550
753	1678	547
754	1679	545
755	1681	542
756	1682	539
757	1683	537
758	1684	534
759	1685	532
760	1686	529
761	1687	527
762	1689	524
763	1691	522
764	1693	520
765	1694	517
766	1696	515
767	1697	512
768	1698	510
769	1699	507
770	1700	505
771	1701	502
772	1702	500
773	1704	497
774	1706	495
775	1708	493
776	1709	490
777	1710	488
778	1711	485
779	1712	483
780	1713	480
781	1715	478
782	1716	475
783	1717	473
784	1718	470
785	1721	468
786	1723	466
787	1724	463
788	1725	461
789	1726	459
790	1728	456
791	1729	454
792	1730	451
793	1731	449
794	1732	446
795	1733	444
796	1736	442
797	1737	439
798	1738	437
799	1740	435
800	1741	432
801	1742	430
802	1743	427
803	1744	425
804	1745	422
805	1746	420
806	1748	418
807	1751	416
808	1753	413
809	1754	411
810	1755	409
811	1758	407
812	1762	405
813	1763	402
814	1765	400
815	1767	398
816	1768	396
817	1769	393
818	1771	391
819	1772	389
820	1773	386
821	1774	384
822	1776	381
823	1777	379
824	1778	377
825	1781	375
826	1783	373
827	1785	370
828	1786	368
829	1787	366
830	1788	363
831	1789	361
832	1791	359
833	1792	356
834	1793	354
835	1796	352
836	1797	350
837	1799	347
838	1800	345
839	1801	343
840	1802	340
841	1803	338
842	1805	336
843	1806	333
844	1807	331
845	1808	329
846	1811	327
847	1813	325
848	1814	322
849	1816	320
850	1817	318
851	1818	315
852	1819	313
853	1820	311
854	1821	308
855	1822	306
856	1824	304
857	1827	302
858	1828	300
859	1830	297
860	1831	295
861	1832	293
862	1833	291
863	1834	288
864	1835	286
865	1836	284
866	1838	282
867	1841	280
868	1843	277
869	1844	275
870	1846	273
871	1847	271
872	1848	268
873	1849	266
874	1850	264
875	1851	262
876	1853	259
877	1855	257
878	1857	255
879	1858	253
880	1859	251
881	1860	248
882	1861	246
883	1863	244
884	1864	242
885	1865	240
886	1866	237
887	1868	235
888	1871	233
889	1874	231
890	1876	229
891	1877	227
892	1878	225
893	1880	222
894	1881	220
895	1882	218
896	1884	216
897	1886	214
898	1888	212
899	1889	209
900	1890	207
901	1892	205
902	1893	203
903	1894	201
904	1895	198
905	1896	196
906	1897	194
907	1912	193
908	1914	191
909	1915	189
910	1918	187
911	1919	185
912	1921	183
913	1922	180
914	1924	178
915	1925	176
916	1927	174
917	1928	172
918	1930	170
919	1931	167
920	1933	165
921	1935	163
922	1938	161
923	1939	159
924	1941	157
925	1942	155
926	1943	153
927	1945	150
928	1948	148
929	1949	146
930	1951	144
931	1952	142
932	1953	140
933	1954	138
934	1955	135
935	1956	133
936	1958	131
937	1960	129
938	1962	127
939	1964	125
940	1966	123
941	1967	121
942	1969	119
943	1970	116
944	1971	114
945	1974	112
946	1977	110
947	1978	108
948	1980	106
949	1981	104
950	1982	102
951	1983	100
952	1985	97
953	1986	95
954	1987	93
955	1991	91
956	1993	89
957	1995	87
958	1996	85
959	1998	83
960	1999	81
961	2001	79
962	2004	77
963	2006	74
964	2008	72
965	2009	70
966	2010	68
967	2011	66
968	2012	64
969	2014	62
970	2015	60
971	2018	58
972	2021	56
973	2022	53
974	2024	51
975	2026	49
976	2027	47
977	2028	45
978	2029	43
979	2031	41
980	2033	39
981	2036	37
982	2037	35
983	2038	33
984	2039	31
985	2040	28
986	2042	26
987	2043	24
988	2044	22
989	2045	20
990	2047	18
991	2049	16
992	2051	14
993	2053	12
994	2054	10
995	2055	8
996	2057	6
997	2058	4
998	2059	2
999	2060	0
